SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,BuildingNumber,School,GradeTested,ELATotalTestedNotTested,ELATotalTested,ELAMetStandardIncludingPrevPass,ELAPercentMetStandardIncludingPrevPass,ELAMetStandardWithoutPrevPass,ELAPercentMetStandardWithoutPrevPass,ELAPercentMetStandardExcludingNoScore,ELALevel1,ELAPercentLevel1,ELALevel2,ELAPercentLevel2,ELALevelBasic,ELAPercentLevelBasic,ELALevel3,ELAPercentLevel3,ELALevel4,ELAPercentLevel4,ELANoScore,ELAPercentNoScore,ELANotMet,ELAPercentNotMet,ELAExcusedAbsence,ELAExempted,ELAWAASPORT,ELAWAASDAPE,MathTotalTestedNotTested,MathTotalTested,MathMetStandardIncludingPrevPass,MathPercentMetStandardIncludingPrevPass,MathMetStandardWithoutPrevPass,MathPercentMetStandardWithoutPrevPass,MathPercentMetStandardExcludingNoScore,MathLevel1,MathPercentLevel1,MathLevel2,MathPercentLevel2,MathLevelBasic,MathPercentLevelBasic,MathLevel3,MathPercentLevel3,MathLevel4,MathPercentLevel4,MathNoScore,MathPercentNoScore,MathNotMet,MathPercentNotMet,MathExcusedAbsence,MathExempted,MathWAASPORT,MathWAASDAPE,ELALevelIndex,MathLevelIndex
2014-15,Educational Service District 101,01,Adams,01158,Lind School District,5293,Lind-Ritzville Middle School,7,19,19,10,52.6,10,52.6,52.6,3,15.69,6,31.5,0,0,7,36.79,3,15.69,0,0,9,47.29,,2,1,,18,18,7,38.79,7,38.79,38.9,7,38.79,4,22.19,0,0,5,27.69,2,11.09,0,0,11,61.1,,2,1,,2.52,2.11
2014-15,Educational Service District 101,01,Adams,01158,Lind School District,5293,Lind-Ritzville Middle School,8,17,17,11,64.7,11,64.7,64.7,2,11.69,4,23.5,0,0,9,52.89,2,11.69,0,0,6,35.2,,2,,,17,17,4,23.5,4,23.5,23.5,5,29.39,8,47,0,0,3,17.6,1,5.79,0,0,13,76.4,,2,,,2.64,1.99
2014-15,Educational Service District 101,32,Spokane,32360,Cheney School District,5294,Phil Snowdon Elementary,3,66,66,43,65.09,43,65.09,65.2,11,16.6,12,18.1,0,0,18,27.19,25,37.79,0,0,23,34.79,,,,,66,66,36,54.5,36,54.5,54.5,9,13.59,21,31.8,0,0,25,37.79,11,16.6,0,0,30,45.39,,,,,2.86,2.57
2014-15,Educational Service District 101,32,Spokane,32360,Cheney School District,5294,Phil Snowdon Elementary,4,79,77,39,49.29,39,49.29,50.6,20,25.3,18,22.69,0,0,17,21.5,22,27.8,2,2.5,40,50.6,,3,,,80,77,43,53.7,43,53.7,55.8,9,11.19,25,31.19,0,0,33,41.2,10,12.5,3,3.7,37,46.2,,3,,,2.46,2.47
2014-15,Educational Service District 101,32,Spokane,32360,Cheney School District,5294,Phil Snowdon Elementary,5,81,80,36,44.39,36,44.39,45,29,35.79,15,18.5,0,0,24,29.6,12,14.8,1,1.19,45,55.5,,4,,,81,80,24,29.6,24,29.6,30,27,33.29,29,35.79,0,0,14,17.19,10,12.3,1,1.19,57,70.29,,4,,,2.21,2.06
2014-15,Puget Sound Educational Service District 121,17,King,17410,Snoqualmie Valley School District,5296,Snoqualmie Parent Partnership Program,3,6,6,4,66.59,4,66.59,66.7,0,0,2,33.29,0,0,2,33.29,2,33.29,0,0,2,33.29,,,,,6,6,3,50,3,50,50,3,50,0,0,0,0,3,50,0,0,0,0,3,50,,,,,3,2
2014-15,Puget Sound Educational Service District 121,17,King,17410,Snoqualmie Valley School District,5296,Snoqualmie Parent Partnership Program,4,5,5,3,60,3,60,60,2,40,0,0,0,0,1,20,2,40,0,0,2,40,,,,,5,5,1,20,1,20,20,1,20,3,60,0,0,1,20,0,0,0,0,4,80,,,,,2.6,2
2014-15,Puget Sound Educational Service District 121,17,King,17410,Snoqualmie Valley School District,5296,Snoqualmie Parent Partnership Program,5,3,3,1,33.29,1,33.29,33.3,1,33.29,1,33.29,0,0,1,33.29,0,0,0,0,2,66.59,,,,,3,3,0,0,0,0,0,1,33.29,2,66.59,0,0,0,0,0,0,0,0,3,100,,,,,2,1.66
2014-15,Puget Sound Educational Service District 121,17,King,17410,Snoqualmie Valley School District,5296,Snoqualmie Parent Partnership Program,6,3,3,2,66.59,2,66.59,66.7,0,0,1,33.29,0,0,2,66.59,0,0,0,0,1,33.29,,1,,,3,3,1,33.29,1,33.29,33.3,2,66.59,0,0,0,0,1,33.29,0,0,0,0,2,66.59,,1,,,2.66,1.66
2014-15,Puget Sound Educational Service District 121,17,King,17410,Snoqualmie Valley School District,5296,Snoqualmie Parent Partnership Program,7,7,7,5,71.4,5,71.4,71.4,0,0,2,28.5,0,0,1,14.19,4,57.1,0,0,2,28.5,,1,,,7,7,4,57.1,4,57.1,57.1,2,28.5,1,14.19,0,0,1,14.19,3,42.79,0,0,3,42.79,,1,,,3.28,2.71
2014-15,Puget Sound Educational Service District 121,17,King,17410,Snoqualmie Valley School District,5296,Snoqualmie Parent Partnership Program,8,5,5,3,60,3,60,60,0,0,2,40,0,0,2,40,1,20,0,0,2,40,,1,,,5,5,1,20,1,20,20,1,20,3,60,0,0,0,0,1,20,0,0,4,80,,1,,,2.8,2.2
2014-15,Puget Sound Educational Service District 121,27,Pierce,27400,Clover Park School District,5297,Transition Day Students,8,2,1,1,50,1,50,100,0,0,0,0,0,0,1,50,0,0,1,50,1,50,,2,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,100,1,100,,3,,,1.5,0
